Date,Index,Open,High,Low,Close,Volume,Currency
01-01-1997,NIFTY 50,905.2,941.4,905.2,939.55,38948000,INR
02-01-1997,NIFTY 50,941.95,944,925.05,927.05,49118000,INR
03-01-1997,NIFTY 50,924.3,932.6,919.55,931.65,35264000,INR
06-01-1997,NIFTY 50,932.45,937.95,925.65,927.8,26324000,INR
07-01-1997,NIFTY 50,926.35,935.15,922.25,928.8,44473000,INR
08-01-1997,NIFTY 50,937.35,953.1,937.35,946.7,49517000,INR
09-01-1997,NIFTY 50,945.15,959.75,943.6,956.6,39567000,INR
10-01-1997,NIFTY 50,962.7,984.1,962.7,980.35,52002000,INR
13-01-1997,NIFTY 50,978.55,982.25,965.5,980.7,40185000,INR
14-01-1997,NIFTY 50,984,994.4,977.7,989.3,49911000,INR
15-01-1997,NIFTY 50,997.5,1042.75,997.05,1041.8,53369000,INR
16-01-1997,NIFTY 50,1064.05,1085.75,995.35,1009.4,77685000,INR
17-01-1997,NIFTY 50,994.1,1009.7,976.35,1001.75,68737000,INR
20-01-1997,NIFTY 50,1004.1,1005.55,973.95,977,48114000,INR
21-01-1997,NIFTY 50,972.1,980.2,956.45,960.5,51642000,INR
22-01-1997,NIFTY 50,971.4,992.9,971.4,987.1,51947000,INR
24-01-1997,NIFTY 50,991.05,991.4,979.55,985.9,49859000,INR
27-01-1997,NIFTY 50,993.15,1017.3,990.3,1009.15,63131000,INR
28-01-1997,NIFTY 50,1016,1025.1,1007.95,1021.8,54183000,INR
29-01-1997,NIFTY 50,1038.1,1043.9,1007.1,1017.2,69065000,INR
30-01-1997,NIFTY 50,1010.6,1012.85,993.5,1000,61831000,INR
31-01-1997,NIFTY 50,988.7,988.7,965.85,972.65,59785000,INR
03-02-1997,NIFTY 50,967.9,967.9,944.2,948.2,53189000,INR
04-02-1997,NIFTY 50,947,963.2,944.45,958.3,55622000,INR
05-02-1997,NIFTY 50,970.75,984.8,959.5,962.5,44915000,INR
06-02-1997,NIFTY 50,960.75,972.4,953.95,967.75,49656000,INR
07-02-1997,NIFTY 50,969.5,980.95,966.5,978.8,47450000,INR
10-02-1997,NIFTY 50,981,986.75,975.15,981.45,45815000,INR
11-02-1997,NIFTY 50,980.95,996.05,978.85,992.75,40528000,INR
12-02-1997,NIFTY 50,991.65,1008.8,990.9,1001,47173000,INR
13-02-1997,NIFTY 50,998.45,1005.1,995.35,1002.15,31743000,INR
14-02-1997,NIFTY 50,1001.3,1011.85,1001.1,1009.45,33066000,INR
17-02-1997,NIFTY 50,1017.75,1024.3,1015.1,1020.1,44421000,INR
18-02-1997,NIFTY 50,1020.75,1020.85,998.9,1000.75,47719000,INR
19-02-1997,NIFTY 50,1004.05,1013.05,993.85,1011.85,47329000,INR
20-02-1997,NIFTY 50,1009.55,1009.6,1000.55,1003.1,37448000,INR
21-02-1997,NIFTY 50,1000.75,1002,989.5,991.55,34243000,INR
24-02-1997,NIFTY 50,988.7,988.9,961.95,964.75,41016000,INR
25-02-1997,NIFTY 50,962.6,975.25,954.5,966.1,53377000,INR
26-02-1997,NIFTY 50,963.95,970.5,956.75,968.85,37929000,INR
27-02-1997,NIFTY 50,972.35,994.5,972.05,992.75,43869000,INR
28-02-1997,NIFTY 50,998.25,1006.6,996,998.65,62993000,INR
01-03-1997,NIFTY 50,1070.8,1106.6,1070.8,1102.95,60588000,INR
03-03-1997,NIFTY 50,1102.45,1140.65,1095.9,1107.7,64395000,INR
04-03-1997,NIFTY 50,1111.75,1121.4,1098.2,1117.3,55907000,INR
05-03-1997,NIFTY 50,1144.25,1167.95,1122.25,1132.9,72361000,INR
06-03-1997,NIFTY 50,1127,1135.75,1119.3,1127.25,49304000,INR
10-03-1997,NIFTY 50,1118.8,1118.8,1075.05,1078.7,50438000,INR
11-03-1997,NIFTY 50,1073.8,1083.35,1046.3,1052,60255000,INR
12-03-1997,NIFTY 50,1066.55,1088.65,1065.25,1074.2,48954000,INR
13-03-1997,NIFTY 50,1076.85,1078.6,1062.7,1066.5,34833000,INR
14-03-1997,NIFTY 50,1062.2,1076.65,1057.55,1070.1,60181000,INR
17-03-1997,NIFTY 50,1071.95,1076.25,1065.45,1072.6,48967000,INR
18-03-1997,NIFTY 50,1072.3,1074.5,1061.05,1064.35,53281000,INR
19-03-1997,NIFTY 50,1074.25,1079.6,1050,1052.05,42506000,INR
20-03-1997,NIFTY 50,1049,1059.5,1040.95,1054.8,58860000,INR
21-03-1997,NIFTY 50,1058.7,1069.5,1058.55,1061.4,42522000,INR
25-03-1997,NIFTY 50,1064.5,1067.25,1054.5,1058.35,39647000,INR
26-03-1997,NIFTY 50,1062.5,1067.2,1057.5,1059.2,36190000,INR
27-03-1997,NIFTY 50,1057.45,1059,1047.7,1057.8,28285000,INR
31-03-1997,NIFTY 50,1012.15,1012.15,966.8,968.3,6629000,INR
01-04-1997,NIFTY 50,931.95,973.85,931.5,970.15,43678000,INR
02-04-1997,NIFTY 50,982.1,1004.65,982.1,1002.2,34665000,INR
03-04-1997,NIFTY 50,1004.3,1012.75,1000.55,1010.65,30297000,INR
04-04-1997,NIFTY 50,1001.9,1002,996.6,1001,19924000,INR
07-04-1997,NIFTY 50,997.5,998,988,990.9,22271000,INR
09-04-1997,NIFTY 50,1009.95,1031.15,1009.95,1030.3,32979000,INR
10-04-1997,NIFTY 50,1024.45,1024.7,1000.3,1008.35,49312000,INR
11-04-1997,NIFTY 50,993.3,1017.2,985.65,1013.4,45473000,INR
12-04-1997,NIFTY 50,1004.9,1009.9,999.3,1003.25,24802000,INR
15-04-1997,NIFTY 50,1010.65,1018.6,1010.65,1014.9,35734000,INR
17-04-1997,NIFTY 50,1020.4,1036.15,1018.25,1035.2,41261000,INR
21-04-1997,NIFTY 50,1041.45,1061.8,1041.25,1060.6,44880000,INR
22-04-1997,NIFTY 50,1066.7,1073.9,1056.4,1059.8,54745000,INR
23-04-1997,NIFTY 50,1065.95,1078.05,1063.85,1071.05,45203000,INR
24-04-1997,NIFTY 50,1071.4,1075.9,1063.3,1067.2,33622000,INR
25-04-1997,NIFTY 50,1065.4,1071.05,1062.95,1069.4,33846000,INR
28-04-1997,NIFTY 50,1068.6,1070.7,1061.2,1065.4,34437000,INR
29-04-1997,NIFTY 50,1063.6,1065.4,1052.8,1057.45,34583000,INR
30-04-1997,NIFTY 50,1081.1,1088.4,1075.95,1079.85,39887000,INR
02-05-1997,NIFTY 50,1074.7,1074.7,1063.75,1069,28799000,INR
05-05-1997,NIFTY 50,1061.8,1061.8,1043.55,1045.5,37241000,INR
06-05-1997,NIFTY 50,1045.8,1050.55,1038.75,1048.4,37308000,INR
07-05-1997,NIFTY 50,1053.1,1055.05,1042.55,1044.4,33410000,INR
08-05-1997,NIFTY 50,1043.7,1055.4,1039.8,1054.05,26528000,INR
09-05-1997,NIFTY 50,1054.6,1063,1048.05,1053.35,29143000,INR
12-05-1997,NIFTY 50,1052.8,1056.5,1039.05,1040.5,30569000,INR
13-05-1997,NIFTY 50,1041.05,1042.25,1027.5,1031.05,32122000,INR
14-05-1997,NIFTY 50,1030.35,1044.15,1018.15,1041.65,44974000,INR
15-05-1997,NIFTY 50,1041.65,1049,1036.25,1045,41609000,INR
16-05-1997,NIFTY 50,1043.4,1049.75,1041.1,1048.4,37268000,INR
19-05-1997,NIFTY 50,1052.2,1059.25,1048.05,1050.8,43800000,INR
20-05-1997,NIFTY 50,1051.55,1053.25,1045.3,1050.85,31738000,INR
21-05-1997,NIFTY 50,1047.5,1049.7,1040.55,1042,37025000,INR
22-05-1997,NIFTY 50,1042.45,1043.8,1034.35,1037.2,32620000,INR
23-05-1997,NIFTY 50,1037,1039,1028.75,1033.7,37947000,INR
26-05-1997,NIFTY 50,1032.15,1035.8,1025.5,1026.9,25033000,INR
27-05-1997,NIFTY 50,1027.5,1031.5,1023.45,1025.7,37217000,INR
28-05-1997,NIFTY 50,1032.5,1035.35,1024.55,1027,30929000,INR
29-05-1997,NIFTY 50,1024.75,1040.05,1023.8,1038.2,40836000,INR
30-05-1997,NIFTY 50,1039.85,1051.2,1038.3,1050.9,46859000,INR
02-06-1997,NIFTY 50,1053.05,1066.15,1051.05,1064.95,45577000,INR
03-06-1997,NIFTY 50,1067.65,1081.75,1067.55,1073.75,55249000,INR
04-06-1997,NIFTY 50,1081.55,1090.95,1078.8,1085.75,42314000,INR
05-06-1997,NIFTY 50,1089.85,1095.5,1082.85,1086.6,50585000,INR
06-06-1997,NIFTY 50,1087.5,1091.05,1081.3,1082.75,37099000,INR
09-06-1997,NIFTY 50,1082.95,1082.95,1071.55,1074.65,38199000,INR
10-06-1997,NIFTY 50,1075.3,1084.15,1075.2,1081.1,39958000,INR
11-06-1997,NIFTY 50,1090.45,1108.95,1090.45,1104.6,47357000,INR
12-06-1997,NIFTY 50,1106.1,1122.2,1105.75,1120.7,48096000,INR
13-06-1997,NIFTY 50,1124.95,1147.5,1122.75,1136.3,70401000,INR
16-06-1997,NIFTY 50,1135.3,1141.05,1121.85,1129.7,49675000,INR
17-06-1997,NIFTY 50,1134.9,1145.8,1127.15,1138.8,56456000,INR
18-06-1997,NIFTY 50,1162.2,1171,1156.05,1159.8,55267000,INR
19-06-1997,NIFTY 50,1151.95,1161.7,1145.35,1159.8,61699000,INR
20-06-1997,NIFTY 50,1162.7,1174.15,1154.3,1158.35,72301000,INR
23-06-1997,NIFTY 50,1159.6,1163,1149.3,1153.7,48518000,INR
24-06-1997,NIFTY 50,1154.95,1161.95,1146.85,1155.3,42542000,INR
25-06-1997,NIFTY 50,1166.1,1175,1158.9,1161.9,53340000,INR
26-06-1997,NIFTY 50,1164,1177.6,1160.25,1168.2,80961000,INR
27-06-1997,NIFTY 50,1168.3,1174.75,1165.95,1169.65,44355000,INR
30-06-1997,NIFTY 50,1167.45,1194.75,1164.5,1192.4,48364000,INR
01-07-1997,NIFTY 50,1201.3,1206.1,1193.55,1200.45,64487000,INR
02-07-1997,NIFTY 50,1214.7,1237.05,1212.6,1222.95,66335000,INR
03-07-1997,NIFTY 50,1222.45,1235.45,1209.45,1214.9,54583000,INR
04-07-1997,NIFTY 50,1218.95,1222.6,1209.45,1216.1,53072000,INR
07-07-1997,NIFTY 50,1217.4,1226.6,1208.25,1209.7,50910000,INR
08-07-1997,NIFTY 50,1205.1,1205.8,1193.35,1198.25,48806000,INR
09-07-1997,NIFTY 50,1211.6,1239.55,1211.6,1236.55,55539000,INR
10-07-1997,NIFTY 50,1248.1,1252.7,1234.95,1239.15,53762000,INR
11-07-1997,NIFTY 50,1233.5,1233.5,1217,1221.1,43430000,INR
14-07-1997,NIFTY 50,1212.4,1215.6,1176.6,1187.05,65042000,INR
15-07-1997,NIFTY 50,1190.5,1195.4,1180.75,1183.35,53412000,INR
16-07-1997,NIFTY 50,1195.55,1207,1179.25,1183,58671000,INR
17-07-1997,NIFTY 50,1182.85,1185.3,1173,1181.4,57648000,INR
21-07-1997,NIFTY 50,1171.35,1171.35,1153.75,1165,41902000,INR
22-07-1997,NIFTY 50,1169.55,1176.4,1165.15,1173.25,45720000,INR
23-07-1997,NIFTY 50,1184.05,1201.75,1183.9,1200.7,53155000,INR
24-07-1997,NIFTY 50,1204.35,1213.4,1195.2,1199.95,52902000,INR
25-07-1997,NIFTY 50,1194.75,1195.95,1179,1185.05,49251000,INR
28-07-1997,NIFTY 50,1185.25,1187.85,1176.95,1181.65,39623000,INR
29-07-1997,NIFTY 50,1182.6,1190.55,1180.1,1190.3,45250000,INR
30-07-1997,NIFTY 50,1196.65,1205.8,1195.85,1197.9,41305000,INR
31-07-1997,NIFTY 50,1203.95,1224.7,1201.85,1221.5,56420000,INR
01-08-1997,NIFTY 50,1224.4,1233.85,1219.9,1232.4,60690000,INR
04-08-1997,NIFTY 50,1238.75,1254.5,1237.95,1250.4,57184000,INR
05-08-1997,NIFTY 50,1250.5,1275.45,1249.7,1273.15,56501000,INR
06-08-1997,NIFTY 50,1273.65,1297.1,1273.65,1292.95,10625000,INR
07-08-1997,NIFTY 50,1292.8,1292.8,1259.05,1269.65,55758000,INR
08-08-1997,NIFTY 50,1269.55,1269.55,1253.2,1256.95,34345000,INR
11-08-1997,NIFTY 50,1256.85,1260,1247.65,1258.35,40338000,INR
12-08-1997,NIFTY 50,1258.5,1272,1243.95,1248.45,50210000,INR
13-08-1997,NIFTY 50,1248.3,1251.4,1240.9,1244.6,28312000,INR
14-08-1997,NIFTY 50,1244.4,1245.8,1226.1,1227.9,30422000,INR
18-08-1997,NIFTY 50,1228.4,1228.45,1198.75,1201.45,29114000,INR
19-08-1997,NIFTY 50,1201.5,1203.15,1177.1,1180.7,42448000,INR
20-08-1997,NIFTY 50,1179.55,1200.25,1178.65,1198.2,38303000,INR
21-08-1997,NIFTY 50,1198.8,1212.15,1179.3,1181.5,39209000,INR
22-08-1997,NIFTY 50,1181.55,1181.6,1158.45,1160.45,41583000,INR
25-08-1997,NIFTY 50,1160.4,1160.4,1119.65,1144.3,53758000,INR
26-08-1997,NIFTY 50,1144.55,1160.45,1144.05,1151.75,45303000,INR
27-08-1997,NIFTY 50,1152.4,1184.85,1152.4,1168.4,41331000,INR
28-08-1997,NIFTY 50,1168.4,1168.4,1132.25,1134.65,48034000,INR
29-08-1997,NIFTY 50,1134.2,1134.2,1098.9,1105,66419000,INR
01-09-1997,NIFTY 50,1105.45,1115,1097.95,1104.7,48044000,INR
02-09-1997,NIFTY 50,1104.9,1125.85,1102.45,1117.15,53378000,INR
03-09-1997,NIFTY 50,1118.45,1145.4,1118.45,1134.7,54905000,INR
04-09-1997,NIFTY 50,1134.3,1138.8,1123.7,1137.15,42315000,INR
05-09-1997,NIFTY 50,1137.2,1152.3,1137.2,1149.25,49757000,INR
08-09-1997,NIFTY 50,1148.7,1160.85,1136.85,1158.25,36166000,INR
09-09-1997,NIFTY 50,1158.3,1168.35,1154.95,1159.55,45643000,INR
10-09-1997,NIFTY 50,1159,1159,1143.95,1154.55,36393000,INR
11-09-1997,NIFTY 50,1154.6,1163.3,1152.55,1154.3,39295000,INR
12-09-1997,NIFTY 50,1154.2,1154.2,1138.25,1142.85,33306000,INR
15-09-1997,NIFTY 50,1142.75,1143.35,1136.3,1141,26854000,INR
16-09-1997,NIFTY 50,1141.1,1149.25,1137.8,1140.15,40368000,INR
17-09-1997,NIFTY 50,1140.3,1141.75,1132.75,1134.2,6781000,INR
18-09-1997,NIFTY 50,1133.6,1133.6,1101.65,1109.35,35459000,INR
19-09-1997,NIFTY 50,1109.6,1115.15,1099.6,1104.3,32874000,INR
22-09-1997,NIFTY 50,1104.25,1104.25,1082.5,1085,33937000,INR
23-09-1997,NIFTY 50,1084.4,1090.95,1079.6,1088.65,34742000,INR
24-09-1997,NIFTY 50,1089.15,1108.15,1089.15,1100.85,29925000,INR
25-09-1997,NIFTY 50,1100.85,1112.4,1098.35,1111.35,41697000,INR
26-09-1997,NIFTY 50,1111.65,1122.25,1111.65,1116.1,34676000,INR
29-09-1997,NIFTY 50,1124.9,1133.4,1122.6,1125.7,40309000,INR
30-09-1997,NIFTY 50,1125.65,1125.65,1112.5,1123.8,38098000,INR
01-10-1997,NIFTY 50,1123.45,1123.45,1102.45,1114.7,33340000,INR
09-10-1997,NIFTY 50,1119.1,1135.95,1118.65,1134.55,40214000,INR
10-10-1997,NIFTY 50,1135.3,1166.05,1133.6,1163.55,71968000,INR
13-10-1997,NIFTY 50,1165.5,1177.5,1153.85,1156.95,67812000,INR
14-10-1997,NIFTY 50,1156.45,1158.8,1131,1137.9,59606000,INR
15-10-1997,NIFTY 50,1138.45,1152.65,1138.45,1150.45,42093000,INR
16-10-1997,NIFTY 50,1150.45,1171.6,1150.45,1168.35,53548000,INR
17-10-1997,NIFTY 50,1168.75,1181.15,1168.7,1177.8,53923000,INR
20-10-1997,NIFTY 50,1177.5,1189.4,1172.05,1188.2,48207000,INR
21-10-1997,NIFTY 50,1188.2,1192,1171.2,1174.95,59464000,INR
22-10-1997,NIFTY 50,1175.55,1184.9,1168.3,1169.85,39488000,INR
23-10-1997,NIFTY 50,1169.4,1171.05,1140.8,1151.65,46665000,INR
24-10-1997,NIFTY 50,1151.45,1151.45,1122.55,1136.65,56984000,INR
27-10-1997,NIFTY 50,1136,1136,1116,1120.8,40482000,INR
28-10-1997,NIFTY 50,1120.6,1120.6,1028.2,1032.6,63947000,INR
29-10-1997,NIFTY 50,1033,1108.5,1033,1107,59052000,INR
30-10-1997,NIFTY 50,1106.9,1106.9,1080.15,1085.25,21162000,INR
03-11-1997,NIFTY 50,1085.75,1096.05,1071.2,1084,34126000,INR
04-11-1997,NIFTY 50,1083.8,1097.05,1079.55,1090.2,49372000,INR
05-11-1997,NIFTY 50,1091.2,1096.05,1081.9,1085,37019000,INR
06-11-1997,NIFTY 50,1084.8,1085.2,1068.4,1080.95,35239000,INR
07-11-1997,NIFTY 50,1081.15,1081.45,1072.15,1074.8,28282000,INR
10-11-1997,NIFTY 50,1074.5,1074.5,1064.4,1065.9,24162000,INR
11-11-1997,NIFTY 50,1065.9,1076.5,1064.3,1073.35,32152000,INR
12-11-1997,NIFTY 50,1073.3,1073.3,1042.35,1045,39837000,INR
13-11-1997,NIFTY 50,1044.55,1044.55,1013.1,1022.4,49145000,INR
17-11-1997,NIFTY 50,1022.3,1028.5,1014.55,1024.95,34317000,INR
18-11-1997,NIFTY 50,1025.3,1025.4,1004.2,1009.8,38593000,INR
19-11-1997,NIFTY 50,1009.55,1009.55,971.2,987.85,47421000,INR
