Date,Index,Open,High,Low,Close,Volume,Currency
29-03-2017,NIFTY 50,9128.7,9153.15,9109.1,9143.8,250903008,INR
30-03-2017,NIFTY 50,9142.6,9183.15,9136.35,9173.75,333409984,INR
31-03-2017,NIFTY 50,9158.9,9191.7,9152.1,9173.75,196772000,INR
03-04-2017,NIFTY 50,9220.6,9245.35,9192.4,9237.85,143444992,INR
05-04-2017,NIFTY 50,9264.4,9273.9,9215.4,9265.15,190528992,INR
06-04-2017,NIFTY 50,9245.8,9267.95,9218.85,9261.95,191936992,INR
07-04-2017,NIFTY 50,9223.7,9250.5,9188.1,9198.3,195919008,INR
10-04-2017,NIFTY 50,9225.6,9225.65,9174.85,9181.45,139968992,INR
11-04-2017,NIFTY 50,9184.55,9242.7,9172.85,9237,206262000,INR
12-04-2017,NIFTY 50,9242.5,9246.4,9161.8,9203.45,166755008,INR
13-04-2017,NIFTY 50,9202.5,9202.65,9144.95,9150.8,171696000,INR
17-04-2017,NIFTY 50,9144.75,9160,9120.25,9139.3,132244000,INR
18-04-2017,NIFTY 50,9163,9217.9,9095.45,9105.15,179570000,INR
19-04-2017,NIFTY 50,9112.2,9120.5,9075.15,9103.5,179116992,INR
20-04-2017,NIFTY 50,9108.1,9143.9,9102.65,9136.4,175630000,INR
21-04-2017,NIFTY 50,9179.1,9183.65,9088.75,9119.4,159980992,INR
24-04-2017,NIFTY 50,9135.35,9225.4,9130.55,9217.95,172908000,INR
25-04-2017,NIFTY 50,9273.05,9309.2,9250.35,9306.6,173896992,INR
26-04-2017,NIFTY 50,9336.2,9367,9301.35,9351.85,191395008,INR
27-04-2017,NIFTY 50,9359.15,9367.15,9322.65,9342.15,215882000,INR
28-04-2017,NIFTY 50,9340.95,9342.65,9282.25,9304.05,167228992,INR
02-05-2017,NIFTY 50,9339.85,9352.55,9269.9,9313.8,166558000,INR
03-05-2017,NIFTY 50,9344.7,9346.3,9298.4,9311.95,156342000,INR
04-05-2017,NIFTY 50,9360.95,9365.65,9323.25,9359.9,277896000,INR
05-05-2017,NIFTY 50,9374.55,9377.1,9272,9285.3,239134000,INR
08-05-2017,NIFTY 50,9311.45,9338.7,9297.95,9314.05,179710000,INR
09-05-2017,NIFTY 50,9337.35,9338.95,9307.7,9316.85,136416992,INR
